Time,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8
315,1.86728972,5.243346008,5.509803922,5.189393939,0.008403361,5.797101449,4.415282392,-0.008474576,5.802259887,4.724444444,6.062200957,0,3.411214953,4.143939394,4.485714286,0,5.844660194,2.859188544,2.791284404,-0.040650407,5.916299559,2.295938104,2.772277228,0,2.742021277,3.094091904,7.926136364,0,5.653061224,5.003861004,6.190243902,0,1.560549313,4.942760943,2.816810345,0,4.765486726,2.857749469,2.7125,-0.008474576
330,2.239252336,5.3878327,5.643137255,5.333333333,0.008403361,5.980676329,4.544850498,-0.008474576,6.163841808,4.977777778,6.330143541,0,3.563862928,4.333333333,4.632142857,0.008333333,6.121359223,2.968973747,2.892201835,-0.040650407,6.105726872,2.35589942,2.881188119,0,2.877659574,3.153172867,8.170454545,0,5.812244898,5.16988417,6.434146341,-0.008403361,1.585518102,5.087542088,2.980603448,0,5.030973451,2.921443737,2.775,-0.008474576
345,2.463551402,5.524714829,5.784313725,5.477272727,0.016806723,6.217391304,4.681063123,0,6.564971751,5.244444444,6.56937799,0,3.719626168,4.522727273,4.775,0,6.383495146,3.076372315,2.995412844,-0.040650407,6.281938326,2.425531915,2.987623762,-0.00862069,3.015957447,3.205689278,8.4375,0,5.967346939,5.359073359,6.697560976,-0.008403361,1.611735331,5.218855219,3.088362069,0,5.269911504,2.976645435,2.83125,-0.008474576
360,2.560747664,5.623574144,5.91372549,5.609848485,0.016806723,6.400966184,4.80730897,-0.008474576,6.903954802,5.502222222,6.813397129,0,3.862928349,4.715909091,4.910714286,0,6.63592233,3.178997613,3.080275229,-0.040650407,6.440528634,2.487427466,3.074257426,-0.00862069,3.130319149,3.256017505,8.664772727,0,6.118367347,5.532818533,6.931707317,-0.008403361,1.630461923,5.343434343,3.224137931,0,5.495575221,3.031847134,2.8875,-0.008474576
375,2.560747664,5.718631179,6.019607843,5.71969697,0.008403361,6.574879227,4.920265781,-0.008474576,7.231638418,5.72,7.014354067,0,3.996884735,4.897727273,5.035714286,0,6.878640777,3.262529833,3.155963303,-0.040650407,6.599118943,2.531914894,3.155940594,-0.00862069,3.252659574,3.308533917,8.886363636,0,6.257142857,5.67953668,7.146341463,-0.008403361,1.651685393,5.454545455,3.284482759,0,5.730088496,3.076433121,2.939583333,-0.008474576
390,2.558878505,5.821292776,6.133333333,5.829545455,0.016806723,6.768115942,5.023255814,-0.008474576,7.440677966,5.946666667,7.215311005,0,4.127725857,5.068181818,5.153571429,0,7.087378641,3.350835322,3.236238532,-0.040650407,6.744493392,2.589941973,3.227722772,0,3.356382979,3.347921225,9.085227273,0,6.387755102,5.810810811,7.356097561,-0.008403361,1.664169788,5.555555556,3.351293103,0,5.942477876,3.118895966,2.98125,-0.008474576
405,2.618691589,5.908745247,6.223529412,5.931818182,0.016806723,6.951690821,5.106312292,-0.016949153,7.689265537,6.173333333,7.421052632,0,4.242990654,5.227272727,5.275,-0.008333333,7.281553398,3.422434368,3.311926606,-0.048780488,6.881057269,2.646034816,3.309405941,-0.00862069,3.454787234,3.389496718,9.278409091,0,6.510204082,5.934362934,7.536585366,-0.008403361,1.686641698,5.63973064,3.394396552,0,6.128318584,3.159235669,3.025,-0.008474576
420,2.375700935,5.977186312,6.31372549,6.049242424,-0.008403361,7.140096618,5.212624585,-0.016949153,7.88700565,6.377777778,7.588516746,0,4.342679128,5.371212121,5.378571429,-0.008333333,7.475728155,3.491646778,3.380733945,-0.048780488,7,2.694390716,3.386138614,-0.00862069,3.550531915,3.426695842,9.465909091,0,6.604081633,6.046332046,7.736585366,-0.008403361,1.696629213,5.730639731,3.435344828,0,6.300884956,3.191082803,3.060416667,-0.008474576
435,2,6.041825095,6.392156863,6.136363636,0.016806723,7.289855072,5.292358804,-0.016949153,8.101694915,6.591111111,7.722488038,-0.008403361,4.451713396,5.518939394,5.485714286,0,7.63592233,3.563245823,3.444954128,-0.048780488,7.110132159,2.742746615,3.455445545,-0.00862069,3.638297872,3.463894967,9.636363636,0,6.697959184,6.16988417,7.892682927,0,1.70536829,5.801346801,3.474137931,0,6.469026549,3.220806794,3.09375,-0.008474576
450,2.579439252,6.121673004,6.474509804,6.223484848,0.008403361,7.449275362,5.368770764,-0.016949153,8.13559322,6.768888889,7.889952153,-0.008403361,4.529595016,5.636363636,5.567857143,0,7.805825243,3.630071599,3.497706422,-0.048780488,7.220264317,2.787234043,3.512376238,-0.00862069,3.723404255,3.492341357,9.801136364,0,6.795918367,6.262548263,8.053658537,-0.008403361,1.7278402,5.865319865,3.515086207,-0.00862069,6.619469027,3.250530786,3.122916667,-0.008474576
