Time,T,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8
300,30.1,1.466632883,1.354999899,1.256029166,-0.006042314,1.416650824,1.447123922,1.615915085,0.018462063,1.270597836,1.480152811,1.451470434,0.018127385,1.568775548,1.424866636,1.371054263,-0.006116227,1.467709753,1.205990968,1.160404094,0.070617567,1.656877638,1.568043016,1.517683049,0.018018506,1.358326819,1.570337493,1.365240952,0,1.576337964,1.331880939,1.35661291,-0.006079046,1.413238996,1.183905241,1.559248168,-0.006079046,1.458061159,1.509292532,1.470220569,-0.006042314,1.307724309,1.457538552,1.309155639,-0.006042314,1.227445161,1.184462562,1.333558065,-0.012195273
315,30.1,1.507490369,1.412360129,1.336406266,-0.006042314,1.460524635,1.501363691,1.647686201,0.018462063,1.312285257,1.531284672,1.513556141,0.012121361,1.613262009,1.485173242,1.422979698,-0.006116227,1.507246972,1.264716254,1.217671649,0.070617567,1.705116078,1.610124962,1.56102439,0.012048339,1.415231058,1.617674574,1.421010798,0,1.624059181,1.384735514,1.418779816,-0.006079046,1.451357954,1.222996008,1.608038332,-0.006079046,1.51460381,1.543800749,1.522497279,-0.006042314,1.364351181,1.513130795,1.350114705,-0.006042314,1.285264731,1.225156753,1.379421482,-0.012195273
330,30.1,1.545924507,1.459269902,1.408003567,-0.006042314,1.504077397,1.554286092,1.68586398,0.018462063,1.352968834,1.578466766,1.572011507,0.018127385,1.655853429,1.534811223,1.470707466,-0.006116227,1.536098875,1.321082212,1.273592439,0.059188871,1.74761437,1.64786529,1.5998026,0.018018506,1.468251468,1.662871771,1.47383398,0,1.665950123,1.431220073,1.473855901,-0.006079046,1.486811232,1.259363653,1.653220555,-0.006079046,1.567292291,1.575941958,1.572176368,-0.006042314,1.418721085,1.560576571,1.388196105,-0.006042314,1.344006449,1.265733319,1.419967576,-0.012195273
345,30.1,1.591587225,1.498585033,1.486105154,-0.006042314,1.539955684,1.593280202,1.714220644,0.018462063,1.390142987,1.62072153,1.624829063,0.018127385,1.696704685,1.585943084,1.518601695,-0.006116227,1.570102907,1.371026889,1.321546832,0.030032287,1.79040903,1.682956609,1.639794375,0.012048339,1.517821968,1.704064332,1.526371314,0,1.712470138,1.479194389,1.527695648,-0.006079046,1.520438311,1.292032197,1.693239014,-0.006079046,1.617343092,1.605902258,1.618733099,-0.006042314,1.465842264,1.607300398,1.424269668,-0.006042314,1.394851395,1.300469083,1.462906534,-0.012195273
360,30,1.633004187,1.538682926,1.555328281,-0.006042314,1.571038779,1.62121498,1.740529508,0.012345836,1.429068177,1.66126298,1.674231503,0.006079046,1.733924694,1.63385644,1.561323676,-0.006116227,1.594324275,1.418595306,1.372087334,0.053425167,1.827548577,1.713766968,1.675687298,0.018018506,1.563561648,1.742969305,1.572533355,0,1.749536839,1.520896053,1.576446811,-0.006079046,1.548813291,1.321314241,1.732336049,-0.006079046,1.664256731,1.633269322,1.664692223,-0.006042314,1.509422145,1.651255852,1.45672444,-0.006042314,1.434340201,1.329212737,1.504077397,-0.012195273
375,30.1,1.673495549,1.579414213,1.618556517,-0.006042314,1.607381004,1.64436101,1.762453343,0.018462063,1.460585937,1.696331079,1.722037469,0.018127385,1.767848799,1.67327394,1.60372769,-0.006116227,1.623622547,1.462444499,1.413354381,0.064919546,1.862729692,1.748452526,1.709717047,0.012048339,1.606586877,1.77787912,1.617377326,0,1.782674397,1.557652613,1.622931371,-0.006079046,1.575246548,1.349190611,1.767576633,-0.006079046,1.710503504,1.657107,1.705808725,-0.006042314,1.549134782,1.687452833,1.48586403,-0.006042314,1.475191979,1.357153226,1.533325826,-0.012195273
390,30.1,1.695615609,1.615055905,1.666553917,-0.006042314,1.63779903,1.665666742,1.780261612,0.018462063,1.488823108,1.728953096,1.764171513,0.018127385,1.798124863,1.714573684,1.640274273,-0.006116227,1.636914104,1.502205088,1.452252329,0.035932009,1.892453242,1.774428013,1.743226121,0.018018506,1.647151879,1.809766786,1.658228077,0.006042314,1.816641136,1.589934306,1.665925242,-0.006079046,1.598170188,1.37296083,1.797570061,-0.006079046,1.750579165,1.680389648,1.742580124,-0.006042314,1.585356046,1.722385234,1.51361999,-0.006042314,1.513064668,1.381058747,1.561743039,-0.012195273
405,30.1,1.724139282,1.650823129,1.706827816,-0.012121361,1.656269212,1.691676011,1.803721334,0.024541109,1.513459129,1.758713506,1.803930005,0.018127385,1.82751116,1.746427737,1.67686372,-0.006116227,1.658228077,1.540445041,1.48827928,0.024097552,1.920725802,1.801448915,1.773325768,0.018018506,1.684816049,1.840668972,1.696811543,0,1.84582669,1.623051984,1.709197869,-0.006079046,1.620580089,1.395632523,1.825563891,-0.006079046,1.788447111,1.699386149,1.778704454,-0.006042314,1.618400841,1.756138438,1.535173739,-0.006042314,1.542229163,1.401838716,1.591469219,-0.012195273
420,30.1,1.752538756,1.682740732,1.746208329,-0.006042314,1.690323258,1.70569791,1.816129174,0.024541109,1.536397197,1.785237062,1.84087352,0.018127385,1.854260475,1.77919649,1.707655541,-0.006116227,1.672412712,1.575187989,1.51962981,0.053425167,1.945331613,1.826653274,1.799718579,0.018018506,1.719839083,1.868906142,1.732040235,0,1.873589487,1.650932578,1.742119888,-0.012195273,1.639785069,1.416731493,1.848399748,-0.006079046,1.821087084,1.7180285,1.810391553,-0.006042314,1.649771041,1.785213775,1.557342801,-0.006042314,1.57186584,1.419673583,1.616263878,-0.012195273
435,30.1,1.770378674,1.715572776,1.784096596,-0.012121361,1.7201948,1.726368862,1.829544365,0.018462063,1.55611306,1.809334614,1.873370805,0.018127385,1.876799982,1.810925435,1.737527479,-0.006116227,1.692333689,1.607415667,1.548029284,0.006079046,1.966517633,1.848535985,1.818232432,0.012048339,1.753060565,1.893542164,1.764209517,0,1.893625514,1.678638447,1.779737812,-0.012195273,1.660226878,1.436869959,1.869108935,-0.006079046,1.851449948,1.735811395,1.839870013,-0.006042314,1.678987971,1.810561433,1.579031035,-0.006042314,1.594958591,1.443380245,1.639794375,-0.012195273
